id,calendar_date,week_day,holiday
46911,7/7/2018,Saturday,1
46912,7/8/2018,Sunday,0
46913,7/9/2018,Monday,0
46914,7/10/2018,Tuesday,0
46915,7/11/2018,Wednesday,0
46916,7/12/2018,Thursday,0
46917,7/13/2018,Friday,0
46918,7/14/2018,Saturday,0
46919,7/15/2018,Sunday,0
46920,7/16/2018,Monday,0
46921,7/17/2018,Tuesday,0
46922,7/18/2018,Wednesday,0
46923,7/19/2018,Thursday,0
46924,7/20/2018,Friday,0
46925,7/21/2018,Saturday,0
46926,7/22/2018,Sunday,0
46927,7/23/2018,Monday,0
46928,7/24/2018,Tuesday,0
46929,7/25/2018,Wednesday,0
46930,7/26/2018,Thursday,0
46931,7/27/2018,Friday,0
46932,7/28/2018,Saturday,0
46933,7/29/2018,Sunday,0
46934,7/30/2018,Monday,0
46935,7/31/2018,Tuesday,0
46936,8/1/2018,Wednesday,0
46937,8/2/2018,Thursday,0
46938,8/3/2018,Friday,0
46939,8/4/2018,Saturday,0
46940,8/5/2018,Sunday,0
46941,8/6/2018,Monday,0
46942,8/7/2018,Tuesday,0
46943,8/8/2018,Wednesday,0
46944,8/9/2018,Thursday,0
46945,8/10/2018,Friday,0
46946,8/11/2018,Saturday,0
46947,8/12/2018,Sunday,0
46948,8/13/2018,Monday,0
46949,8/14/2018,Tuesday,0
46950,8/15/2018,Wednesday,0
46951,8/16/2018,Thursday,0
46952,8/17/2018,Friday,0
46953,8/18/2018,Saturday,0
46954,8/19/2018,Sunday,0
46955,8/20/2018,Monday,0
46956,8/21/2018,Tuesday,0
46957,8/22/2018,Wednesday,0
46958,8/23/2018,Thursday,0
46959,8/24/2018,Friday,0
46960,8/25/2018,Saturday,0
46961,8/26/2018,Sunday,0
46962,8/27/2018,Monday,0
46963,8/28/2018,Tuesday,0
46964,8/29/2018,Wednesday,0
46965,8/30/2018,Thursday,0
46966,8/31/2018,Friday,0
46967,9/1/2018,Saturday,0
46968,9/2/2018,Sunday,0
46969,9/3/2018,Monday,0
46970,9/4/2018,Tuesday,0
46971,9/5/2018,Wednesday,0
46972,9/6/2018,Thursday,0
46973,9/7/2018,Friday,0
46974,9/8/2018,Saturday,0
46975,9/9/2018,Sunday,0
46976,9/10/2018,Monday,0
46977,9/11/2018,Tuesday,0
46978,9/12/2018,Wednesday,0
46979,9/13/2018,Thursday,0
46980,9/14/2018,Friday,0
46981,9/15/2018,Saturday,0
46982,9/16/2018,Sunday,0
46983,9/17/2018,Monday,0
46984,9/18/2018,Tuesday,0
46985,9/19/2018,Wednesday,0
46986,9/20/2018,Thursday,0
46987,9/21/2018,Friday,0
46988,9/22/2018,Saturday,0
46989,9/23/2018,Sunday,0
46990,9/24/2018,Monday,0
46991,9/25/2018,Tuesday,0
46992,9/26/2018,Wednesday,0
46993,9/27/2018,Thursday,0
46994,9/28/2018,Friday,0
46995,9/29/2018,Saturday,0
46996,9/30/2018,Sunday,0
46997,10/1/2018,Monday,0
46998,10/2/2018,Tuesday,0
46999,10/3/2018,Wednesday,0
47000,10/4/2018,Thursday,0
47001,10/5/2018,Friday,0
47002,10/6/2018,Saturday,0
47003,10/7/2018,Sunday,0
47004,10/8/2018,Monday,0
47005,10/9/2018,Tuesday,0
47006,10/10/2018,Wednesday,0
47007,10/11/2018,Thursday,0
47008,10/12/2018,Friday,1
47009,10/13/2018,Saturday,0
47010,10/14/2018,Sunday,0
47011,10/15/2018,Monday,0
47012,10/16/2018,Tuesday,0
47013,10/17/2018,Wednesday,0
47014,10/18/2018,Thursday,0
47015,10/19/2018,Friday,0
47016,10/20/2018,Saturday,0
47017,10/21/2018,Sunday,0
47018,10/22/2018,Monday,0
47019,10/23/2018,Tuesday,0
47020,10/24/2018,Wednesday,0
47021,10/25/2018,Thursday,0
47022,10/26/2018,Friday,0
47023,10/27/2018,Saturday,0
47024,10/28/2018,Sunday,0
47025,10/29/2018,Monday,0
47026,10/30/2018,Tuesday,0
47027,10/31/2018,Wednesday,0
47028,11/1/2018,Thursday,0
47029,11/2/2018,Friday,1
47030,11/3/2018,Saturday,0
47031,11/4/2018,Sunday,0
47032,11/5/2018,Monday,0
47033,11/6/2018,Tuesday,0
47034,11/7/2018,Wednesday,0
47035,11/8/2018,Thursday,0
47036,11/9/2018,Friday,0
47037,11/10/2018,Saturday,0
47038,11/11/2018,Sunday,0
47039,11/12/2018,Monday,0
47040,11/13/2018,Tuesday,0
47041,11/14/2018,Wednesday,0
47042,11/15/2018,Thursday,1
47043,11/16/2018,Friday,0
47044,11/17/2018,Saturday,0
47045,11/18/2018,Sunday,0
47046,11/19/2018,Monday,0
47047,11/20/2018,Tuesday,0
47048,11/21/2018,Wednesday,0
47049,11/22/2018,Thursday,0
47050,11/23/2018,Friday,0
47051,11/24/2018,Saturday,0
47052,11/25/2018,Sunday,0
47053,11/26/2018,Monday,0
47054,11/27/2018,Tuesday,0
47055,11/28/2018,Wednesday,0
47056,11/29/2018,Thursday,0
47057,11/30/2018,Friday,0
47058,12/1/2018,Saturday,0
47059,12/2/2018,Sunday,0
47060,12/3/2018,Monday,0
47061,12/4/2018,Tuesday,0
47062,12/5/2018,Wednesday,0
47063,12/6/2018,Thursday,0
47064,12/7/2018,Friday,0
47065,12/8/2018,Saturday,0
47066,12/9/2018,Sunday,0
47067,12/10/2018,Monday,0
47068,12/11/2018,Tuesday,0
47069,12/12/2018,Wednesday,0
47070,12/13/2018,Thursday,0
47071,12/14/2018,Friday,0
47072,12/15/2018,Saturday,0
47073,12/16/2018,Sunday,0
47074,12/17/2018,Monday,0
47075,12/18/2018,Tuesday,0
47076,12/19/2018,Wednesday,0
47077,12/20/2018,Thursday,0
47078,12/21/2018,Friday,0
47079,12/22/2018,Saturday,0
47080,12/23/2018,Sunday,0
47081,12/24/2018,Monday,0
47082,12/25/2018,Tuesday,1
47083,12/26/2018,Wednesday,0
47084,12/27/2018,Thursday,0
47085,12/28/2018,Friday,0
47086,12/29/2018,Saturday,0
47087,12/30/2018,Sunday,0
47088,12/31/2018,Monday,0
47089,1/1/2019,Tuesday,1
47090,1/2/2019,Wednesday,0
47091,1/3/2019,Thursday,0
47092,1/4/2019,Friday,0
47093,1/5/2019,Saturday,0
47094,1/6/2019,Sunday,0
47095,1/7/2019,Monday,0
47096,1/8/2019,Tuesday,0
47097,1/9/2019,Wednesday,0
47098,1/10/2019,Thursday,0
47099,1/11/2019,Friday,0
47100,1/12/2019,Saturday,0
47101,1/13/2019,Sunday,0
47102,1/14/2019,Monday,0
47103,1/15/2019,Tuesday,0
